Game_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,Player_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Position
22400713,1610612752,NYK,New York,1628404,Josh Hart,Josh,F,,36.000000:40,124.7,127.4,127.5,126.8,-2.8,0.6,0.2,0.0,26.1,0.028,0.188,0.103,0.0,0.441,0.441,0.189,0.196,95.04,94.25,78.55,73,0.095,Guard
22400713,1610612752,NYK,New York,1626157,Karl-Anthony Towns,Karl-Anthony,C,,38.000000:46,126.6,132.1,119.0,115.4,7.6,16.7,0.065,1.0,8.0,0.25,0.367,0.303,8.0,0.579,0.637,0.232,0.239,97.19,96.59,80.5,78,0.186,Center-Forward
22400713,1610612752,NYK,New York,1628969,Mikal Bridges,Mikal,G,,41.000000:12,126.9,131.7,118.1,116.0,8.8,15.7,0.059,0.5,10.0,0.0,0.059,0.027,20.0,0.577,0.612,0.171,0.176,95.97,94.96,79.14,82,0.06,Guard-Forward
22400713,1610612752,NYK,New York,1628973,Jalen Brunson,Jalen,G,,33.000000:57,120.7,125.4,131.2,127.7,-10.5,-2.3,0.217,5.0,16.1,0.0,0.037,0.016,3.2,0.524,0.571,0.313,0.323,93.93,93.31,77.76,67,0.129,Guard
22400713,1610612752,NYK,New York,1630540,Miles McBride,Miles,,,20.000000:33,105.7,109.1,115.9,114.3,-10.2,-5.2,0.063,0.0,16.7,0.0,0.0,0.0,0.0,0.4,0.4,0.093,0.099,101.34,100.41,83.67,44,0.047,Guard
22400713,1610612761,TOR,Toronto,1630558,Davion Mitchell,Davion,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,Guard
22400773,1610612752,NYK,New York,1630173,Precious Achiuwa,Precious,F,,42.000000:22,128.8,130.9,121.6,125.0,7.1,5.9,0.029,0.0,5.6,0.091,0.1,0.096,0.0,0.75,0.751,0.159,0.161,114.11,111.62,93.02,97,0.124,Forward
22400773,1610612752,NYK,New York,1628404,Josh Hart,Josh,F,,45.000000:47,120.6,123.8,128.9,131.0,-8.3,-7.2,0.15,2.0,23.1,0.077,0.14,0.112,11.5,0.385,0.545,0.179,0.181,107.61,105.37,87.8,101,0.076,Guard
22400773,1610612752,NYK,New York,1626157,Karl-Anthony Towns,Karl-Anthony,C,,47.000000:16,124.3,129.1,119.8,122.3,4.6,6.8,0.088,0.43,7.9,0.026,0.18,0.112,18.4,0.7,0.737,0.307,0.304,107.73,104.61,87.17,103,0.15,Center-Forward
22400773,1610612752,NYK,New York,1628969,Mikal Bridges,Mikal,G,,42.000000:56,124.5,125.5,120.6,124.0,3.9,1.6,0.1,4.0,30.8,0.0,0.071,0.038,7.7,0.688,0.688,0.082,0.084,110.35,108.45,90.37,98,0.064,Guard-Forward
